Week,ccola,coca cola hisse,ccola hisse
2016-03-27,18,38,0
2016-04-03,13,42,0
2016-04-10,24,0,0
2016-04-17,0,24,0
2016-04-24,0,30,0
2016-05-01,0,33,0
2016-05-08,0,0,0
2016-05-15,0,0,0
2016-05-22,23,12,0
2016-05-29,52,0,15
2016-06-05,21,15,14
2016-06-12,33,0,51
2016-06-19,34,16,15
2016-06-26,0,0,0
2016-07-03,0,0,0
2016-07-10,29,20,18
2016-07-17,76,29,0
2016-07-24,33,17,0
2016-07-31,47,0,16
2016-08-07,28,0,0
2016-08-14,39,0,29
2016-08-21,19,33,0
2016-08-28,66,16,22
2016-09-04,24,0,14
2016-09-11,0,0,0
2016-09-18,0,19,0
2016-09-25,0,16,0
2016-10-02,25,20,0
2016-10-09,0,58,0
2016-10-16,0,36,0
2016-10-23,21,21,0
2016-10-30,50,31,15
2016-11-06,68,0,28
2016-11-13,33,18,0
2016-11-20,80,0,32
2016-11-27,42,24,0
2016-12-04,0,40,0
2016-12-11,33,40,0
2016-12-18,16,18,0
2016-12-25,24,19,34
2017-01-01,0,0,0
2017-01-08,33,26,0
2017-01-15,39,0,14
2017-01-22,19,0,0
2017-01-29,15,20,0
2017-02-05,0,26,0
2017-02-12,24,12,0
2017-02-19,0,0,0
2017-02-26,52,0,31
2017-03-05,22,12,30
2017-03-12,16,36,19
2017-03-19,24,17,0
2017-03-26,17,18,18
2017-04-02,76,0,18
2017-04-09,16,0,0
2017-04-16,19,0,18
2017-04-23,22,19,0
2017-04-30,30,25,21
2017-05-07,23,22,0
2017-05-14,31,0,13
2017-05-21,31,20,21
2017-05-28,60,0,0
2017-06-04,22,0,0
2017-06-11,0,0,0
2017-06-18,0,19,16
2017-06-25,0,0,28
2017-07-02,0,0,0
2017-07-09,41,0,0
2017-07-16,14,0,0
2017-07-23,32,0,0
2017-07-30,13,42,24
2017-08-06,51,14,0
2017-08-13,47,60,0
2017-08-20,40,0,0
2017-08-27,0,100,0
2017-09-03,0,0,0
2017-09-10,34,20,14
2017-09-17,19,42,0
2017-09-24,0,0,21
2017-10-01,0,0,0
2017-10-08,0,0,0
2017-10-15,0,26,13
2017-10-22,0,0,0
2017-10-29,41,26,24
2017-11-05,0,22,0
2017-11-12,39,44,0
2017-11-19,37,0,0
2017-11-26,34,31,23
2017-12-03,23,14,0
2017-12-10,32,0,0
2017-12-17,35,32,32
2017-12-24,0,0,0
2017-12-31,70,46,0
2018-01-07,72,41,0
2018-01-14,50,32,41
2018-01-21,59,46,0
2018-01-28,64,46,16
2018-02-04,47,35,32
2018-02-11,94,62,30
2018-02-18,82,77,30
2018-02-25,90,69,54
2018-03-04,54,22,28
2018-03-11,58,22,38
2018-03-18,46,64,18
2018-03-25,79,47,65
