Week,mgros,migros hisse,migros hisse yorum
2016-03-27,0,27,0
2016-04-03,13,33,0
2016-04-10,14,0,0
2016-04-17,40,17,0
2016-04-24,9,23,10
2016-05-01,0,14,0
2016-05-08,0,18,0
2016-05-15,0,0,0
2016-05-22,0,27,25
2016-05-29,20,42,16
2016-06-05,35,75,0
2016-06-12,0,51,0
2016-06-19,0,0,0
2016-06-26,27,0,0
2016-07-03,0,17,0
2016-07-10,31,29,0
2016-07-17,37,30,0
2016-07-24,17,0,0
2016-07-31,11,16,0
2016-08-07,0,33,0
2016-08-14,0,25,36
2016-08-21,0,54,0
2016-08-28,10,66,11
2016-09-04,0,21,0
2016-09-11,13,37,0
2016-09-18,22,34,0
2016-09-25,10,10,30
2016-10-02,17,36,29
2016-10-09,10,38,0
2016-10-16,0,23,0
2016-10-23,14,0,0
2016-10-30,22,0,0
2016-11-06,0,38,0
2016-11-13,0,0,0
2016-11-20,18,0,0
2016-11-27,0,18,13
2016-12-04,9,0,0
2016-12-11,19,24,0
2016-12-18,0,30,0
2016-12-25,0,40,0
2017-01-01,0,13,0
2017-01-08,0,0,0
2017-01-15,0,30,0
2017-01-22,0,30,0
2017-01-29,13,0,0
2017-02-05,36,84,0
2017-02-12,18,42,0
2017-02-19,36,34,0
2017-02-26,12,21,30
2017-03-05,0,24,20
2017-03-12,0,33,20
2017-03-19,10,47,0
2017-03-26,26,31,0
2017-04-02,0,34,0
2017-04-09,27,23,0
2017-04-16,0,46,0
2017-04-23,9,55,0
2017-04-30,33,44,20
2017-05-07,42,59,0
2017-05-14,13,0,0
2017-05-21,26,57,0
2017-05-28,34,39,0
2017-06-04,0,38,0
2017-06-11,0,19,0
2017-06-18,19,22,0
2017-06-25,28,21,0
2017-07-02,40,16,0
2017-07-09,30,0,0
2017-07-16,0,30,18
2017-07-23,14,56,12
2017-07-30,30,37,10
2017-08-06,0,54,0
2017-08-13,40,17,0
2017-08-20,35,29,0
2017-08-27,17,64,32
2017-09-03,21,19,0
2017-09-10,14,34,0
2017-09-17,12,11,0
2017-09-24,13,13,21
2017-10-01,17,0,14
2017-10-08,0,0,0
2017-10-15,0,28,0
2017-10-22,13,17,0
2017-10-29,0,28,0
2017-11-05,40,38,22
2017-11-12,45,47,0
2017-11-19,45,37,43
2017-11-26,39,44,0
2017-12-03,51,50,11
2017-12-10,46,42,0
2017-12-17,43,29,0
2017-12-24,14,26,0
2017-12-31,54,50,0
2018-01-07,16,43,0
2018-01-14,22,49,0
2018-01-21,0,45,0
2018-01-28,32,37,10
2018-02-04,18,18,0
2018-02-11,31,62,0
2018-02-18,0,51,0
2018-02-25,49,0,0
2018-03-04,50,65,0
2018-03-11,64,100,0
2018-03-18,68,69,0
2018-03-25,38,69,0
