Week,otkar,otkar hisse,otokar hisse
2016-03-27,20,11,26
2016-04-03,34,16,20
2016-04-10,27,11,9
2016-04-17,21,4,17
2016-04-24,11,9,13
2016-05-01,13,0,12
2016-05-08,9,5,10
2016-05-15,6,0,14
2016-05-22,5,0,10
2016-05-29,12,0,5
2016-06-05,6,16,19
2016-06-12,13,5,16
2016-06-19,7,6,10
2016-06-26,6,0,16
2016-07-03,6,9,19
2016-07-10,11,0,16
2016-07-17,7,0,23
2016-07-24,9,4,15
2016-07-31,16,0,7
2016-08-07,15,0,11
2016-08-14,15,0,7
2016-08-21,6,0,0
2016-08-28,24,8,13
2016-09-04,19,6,11
2016-09-11,0,0,0
2016-09-18,6,0,14
2016-09-25,12,4,15
2016-10-02,7,0,9
2016-10-09,13,9,0
2016-10-16,15,0,15
2016-10-23,5,8,15
2016-10-30,27,9,18
2016-11-06,34,14,28
2016-11-13,44,6,39
2016-11-20,35,11,30
2016-11-27,21,15,36
2016-12-04,26,10,28
2016-12-11,15,9,15
2016-12-18,10,10,23
2016-12-25,23,9,24
2017-01-01,26,5,21
2017-01-08,22,8,24
2017-01-15,16,9,23
2017-01-22,19,7,34
2017-01-29,15,9,23
2017-02-05,20,5,15
2017-02-12,24,8,25
2017-02-19,48,24,43
2017-02-26,31,21,34
2017-03-05,38,19,43
2017-03-12,22,0,20
2017-03-19,28,10,11
2017-03-26,23,6,17
2017-04-02,25,0,31
2017-04-09,30,8,28
2017-04-16,19,5,20
2017-04-23,31,5,33
2017-04-30,30,0,40
2017-05-07,27,8,25
2017-05-14,17,4,23
2017-05-21,23,9,22
2017-05-28,27,0,19
2017-06-04,26,9,44
2017-06-11,44,0,77
2017-06-18,48,14,45
2017-06-25,26,9,25
2017-07-02,31,0,40
2017-07-09,25,0,32
2017-07-16,42,5,36
2017-07-23,33,0,19
2017-07-30,18,12,27
2017-08-06,26,10,38
2017-08-13,29,6,17
2017-08-20,24,9,27
2017-08-27,6,5,0
2017-09-03,11,7,16
2017-09-10,6,0,12
2017-09-17,32,12,18
2017-09-24,36,5,21
2017-10-01,27,0,18
2017-10-08,31,0,21
2017-10-15,25,6,24
2017-10-22,19,13,26
2017-10-29,36,0,45
2017-11-05,68,13,96
2017-11-12,36,11,100
2017-11-19,36,6,75
2017-11-26,41,0,46
2017-12-03,44,8,64
2017-12-10,36,0,50
2017-12-17,33,10,53
2017-12-24,25,11,29
2017-12-31,26,8,45
2018-01-07,16,0,33
2018-01-14,30,4,33
2018-01-21,31,6,39
2018-01-28,91,30,67
2018-02-04,42,14,84
2018-02-11,47,18,64
2018-02-18,35,15,51
2018-02-25,31,0,57
2018-03-04,26,9,43
2018-03-11,16,6,53
2018-03-18,33,0,41
2018-03-25,39,16,53
