Week,pgsus,pgsus hisse,pegasus hisse
2016-03-27,31,13,28
2016-04-03,30,14,31
2016-04-10,27,13,29
2016-04-17,42,5,49
2016-04-24,31,8,28
2016-05-01,43,18,29
2016-05-08,18,5,21
2016-05-15,21,0,18
2016-05-22,28,6,10
2016-05-29,45,7,31
2016-06-05,30,14,21
2016-06-12,29,0,27
2016-06-19,8,0,25
2016-06-26,7,3,38
2016-07-03,0,0,18
2016-07-10,11,3,24
2016-07-17,30,11,24
2016-07-24,31,13,22
2016-07-31,29,8,27
2016-08-07,44,0,39
2016-08-14,22,19,36
2016-08-21,28,8,29
2016-08-28,30,7,27
2016-09-04,49,10,34
2016-09-11,16,8,19
2016-09-18,37,14,15
2016-09-25,31,10,21
2016-10-02,23,9,21
2016-10-09,24,6,30
2016-10-16,47,15,45
2016-10-23,54,12,39
2016-10-30,34,9,21
2016-11-06,35,10,39
2016-11-13,39,12,20
2016-11-20,26,3,13
2016-11-27,19,16,11
2016-12-04,22,15,21
2016-12-11,9,4,9
2016-12-18,8,0,0
2016-12-25,27,10,28
2017-01-01,27,16,30
2017-01-08,18,15,45
2017-01-15,37,15,47
2017-01-22,48,19,54
2017-01-29,52,13,48
2017-02-05,38,13,34
2017-02-12,30,12,26
2017-02-19,30,14,34
2017-02-26,14,8,31
2017-03-05,9,6,37
2017-03-12,8,4,16
2017-03-19,0,0,20
2017-03-26,7,0,15
2017-04-02,0,5,21
2017-04-09,18,4,18
2017-04-16,30,28,26
2017-04-23,24,13,38
2017-04-30,18,0,36
2017-05-07,23,8,37
2017-05-14,34,12,25
2017-05-21,39,12,32
2017-05-28,24,0,31
2017-06-04,39,6,46
2017-06-11,28,0,47
2017-06-18,23,5,35
2017-06-25,25,6,27
2017-07-02,30,7,31
2017-07-09,29,4,37
2017-07-16,15,4,43
2017-07-23,45,7,34
2017-07-30,24,5,47
2017-08-06,33,14,62
2017-08-13,44,13,51
2017-08-20,27,0,36
2017-08-27,7,16,23
2017-09-03,14,0,26
2017-09-10,26,10,48
2017-09-17,18,8,38
2017-09-24,16,0,28
2017-10-01,24,0,29
2017-10-08,33,20,32
2017-10-15,21,10,30
2017-10-22,22,18,39
2017-10-29,18,0,29
2017-11-05,28,12,52
2017-11-12,32,10,79
2017-11-19,10,12,68
2017-11-26,17,13,54
2017-12-03,32,8,77
2017-12-10,24,0,61
2017-12-17,15,11,59
2017-12-24,23,14,50
2017-12-31,4,0,49
2018-01-07,28,5,15
2018-01-14,27,8,100
2018-01-21,16,0,35
2018-01-28,22,8,51
2018-02-04,21,0,41
2018-02-11,9,6,36
2018-02-18,20,11,34
2018-02-25,14,0,29
2018-03-04,17,16,35
2018-03-11,14,4,42
2018-03-18,23,6,34
2018-03-25,4,6,21
